400	25.686569
1400	10.186148
2400	6.845771
3400	5.971794
4400	5.223557
5400	4.690156
6400	4.296335
7400	3.997351
8400	3.642392
9400	3.426852
10400	3.239270
11400	3.068060
12400	3.011237
13400	2.793709
14400	2.673958
15400	2.619030
16400	2.529062
17400	2.519778
18400	2.454306
19400	2.382708
20400	2.287815
21400	2.228809
22400	2.239442
23400	2.173330
24400	2.134763
25400	2.097163
26400	2.048054
27400	1.962161
28400	1.922730
29400	1.887143
30400	1.846133
31400	1.808424
32400	1.779611
33400	1.753830
34400	1.725135
35400	1.695975
36400	1.678454
37400	1.652912
38400	1.631311
39400	1.610963
40400	1.595985
41400	1.578366
42400	1.557635
43400	1.538838
44400	1.514561
45400	1.501938
46400	1.488166
47400	1.472053
48400	1.453802
49400	1.439766
50400	1.423343
51400	1.410287
52400	1.398190
53400	1.387860
54400	1.372650
55400	1.358791
56400	1.345567
57400	1.332212
58400	1.318420
59400	1.307438
60400	1.294507
61400	1.284306
62400	1.278401
63400	1.265289
64400	1.253574
65400	1.244512
66400	1.235864
67400	1.227814
68400	1.220819
69400	1.211482
70400	1.203618
71400	1.197512
72400	1.190420
73400	1.182933
74400	1.177121
75400	1.171664
76400	1.164722
77400	1.156799
78400	1.149623
79400	1.142082
80400	1.134079
81400	1.126473
82400	1.118334
83400	1.109122
84400	1.101719
85400	1.096373
86400	1.090327
87400	1.082721
88400	1.077155
89400	1.070664
90400	1.065774
91400	1.058964
92400	1.053223
93400	1.046875
94400	1.043672
95400	1.038875
96400	1.033258
97400	1.027897
98400	1.023126
99400	1.017021
