400	2.204086
396	2.212883
392	2.220248
388	2.225950
384	2.230972
380	2.235795
376	2.241432
372	2.247283
368	2.252961
364	2.259647
360	2.264398
356	2.268565
352	2.274293
348	2.280275
344	2.285943
340	2.292255
336	2.299644
332	2.305765
328	2.309602
324	2.318664
320	2.330313
316	2.339561
312	2.349683
308	2.358281
304	2.366349
300	2.372695
296	2.379197
292	2.386865
288	2.393835
284	2.395958
280	2.398760
276	2.402661
272	2.411372
268	2.419919
264	2.429119
260	2.438641
256	2.445503
252	2.451282
248	2.458154
244	2.464323
240	2.472367
236	2.479237
232	2.484308
228	2.490846
224	2.498866
220	2.508222
216	2.518626
212	2.523869
208	2.528798
204	2.538536
200	2.547610
196	2.556736
192	2.564312
188	2.574558
184	2.581869
180	2.587534
176	2.591138
172	2.595719
168	2.601306
164	2.610171
160	2.619789
156	2.630262
152	2.638558
148	2.649961
144	2.661440
140	2.673424
136	2.686894
132	2.696884
128	2.706430
124	2.716633
120	2.725635
116	2.733715
112	2.743353
108	2.754729
104	2.761776
100	2.770901
96	2.781821
92	2.792661
88	2.805560
84	2.816702
80	2.831607
76	2.843496
72	2.851439
68	2.861127
64	2.873303
60	2.885494
56	2.900302
52	2.912360
48	2.926646
44	2.938819
40	2.952609
36	2.961626
32	2.973183
28	2.986260
24	2.995316
20	3.002092
16	3.011832
12	3.023951
8	3.036979
4	3.052187
