6.66667 -467.227044 0.134953
5 -856.619990 0.166461
4 -1393.079913 0.210001
3.33333 -2112.874896 0.268039
2.85714 -3079.041285 0.366875
2.5 -4424.120037 0.647276
2.22222 -6810.552799 1.400774
2 -8728.970105 0.464409
1.81818 -10179.384660 0.301748
1.66667 -11435.105633 1.764576
1.53846 -12630.685563 0.177798
1.42857 -13689.481767 2.927529
1.33333 -14823.930463 0.119914
1.25 -15877.623655 0.100349
1.17647 -16914.658952 0.084249
1.11111 -17940.352736 0.071018
1.05263 -18958.167031 0.059917
1 -19970.575149 0.049548
0.952381 -20979.204521 0.042161
0.909091 -21985.219695 0.035803
0.869565 -22989.410837 0.030455
0.833333 -23992.333280 0.025856
0.8 -24994.338326 0.021979
0.769231 -25995.774329 0.018579
0.740741 -26996.744751 0.015794
0.714286 -27997.435083 0.013393
0.689655 -28997.922156 0.011278
0.666667 -29998.251831 0.009529
0.645161 -30998.487162 0.008043
0.625 -31998.637339 0.006853
0.606061 -32998.753537 0.005728
0.588235 -33998.830552 0.004839
0.571429 -34998.882981 0.004073
0.555556 -35998.920001 0.003417
0.540541 -36998.943641 0.002895
0.526316 -37998.962691 0.002392
0.512821 -38998.973528 0.002045
0.5 -39998.980930 0.001753
