6.66667 -470.081966 0.132597
5 -861.571732 0.163447
4 -1402.181271 0.207163
3.33333 -2133.676682 0.274223
2.85714 -3143.904086 0.429154
2.5 -4780.679472 1.068879
2.22222 -7119.501850 0.757431
2 -8879.859600 0.419691
1.81818 -10305.274661 0.290168
1.66667 -11567.770862 0.222248
1.53846 -12738.049876 0.174707
1.42857 -13851.561368 0.142892
1.33333 -14928.536765 0.118461
1.25 -15981.021299 0.099471
1.17647 -17017.313182 0.083344
1.11111 -18042.465077 0.070297
1.05263 -19059.942777 0.059217
1 -20072.110529 0.049138
0.952381 -21080.572789 0.041803
0.909091 -22086.471104 0.035498
0.869565 -23090.588539 0.030182
0.833333 -24093.455754 0.025638
0.8 -25095.420994 0.021802
0.769231 -26096.836599 0.018399
0.740741 -27097.784121 0.015685
0.714286 -28098.466931 0.013258
0.689655 -29098.942340 0.011182
0.666667 -30099.266413 0.009442
0.645161 -30899.477353 0.008119
0.625 -31899.630865 0.006913
0.606061 -32899.748116 0.005790
0.588235 -33899.826958 0.004886
0.571429 -34899.880746 0.004107
0.555556 -35899.918223 0.003451
0.540541 -36899.942373 0.002925
0.526316 -37899.962127 0.002409
0.512821 -38899.973246 0.002054
0.5 -39899.980953 0.001751
