6.66667 -467.307608 0.134823
5 -856.319194 0.170062
4 -1393.226511 0.208237
3.33333 -2113.541249 0.268139
2.85714 -3079.915381 0.363343
2.5 -4430.487955 0.669438
2.22222 -6853.006326 1.162148
2 -8743.074429 0.460407
1.81818 -10168.136278 0.302694
1.66667 -11464.352239 0.408577
1.53846 -12640.453144 0.177609
1.42857 -13753.585846 0.726757
1.33333 -14814.595624 0.120039
1.25 -15868.402429 0.100468
1.17647 -16905.514496 0.084314
1.11111 -17931.247464 0.071102
1.05263 -18949.099512 0.059984
1 -19961.524235 0.049593
0.952381 -20970.166758 0.042191
0.909091 -21976.194202 0.035822
0.869565 -22980.394709 0.030486
0.833333 -23983.323246 0.025874
0.8 -24985.332001 0.021992
0.769231 -25986.771005 0.018589
0.740741 -26987.741802 0.015808
0.714286 -27988.432733 0.013400
0.689655 -28988.920449 0.011288
0.666667 -29989.251095 0.009533
0.645161 -30989.486297 0.008050
0.625 -31989.636744 0.006858
0.606061 -32989.753304 0.005730
0.588235 -33989.830574 0.004839
0.571429 -34989.882855 0.004074
0.555556 -35989.919866 0.003420
0.540541 -36989.943648 0.002895
0.526316 -37989.962542 0.002397
0.512821 -38989.973531 0.002045
0.5 -39989.980932 0.001753
