6.66667 -468.043598 0.134601
5 -857.597646 0.172410
4 -1395.448715 0.209003
3.33333 -2118.594960 0.265764
2.85714 -3096.390123 0.391778
2.5 -4548.159171 0.933371
2.22222 -6986.473643 0.902931
2 -8804.608960 0.444732
1.81818 -10243.215254 0.296146
1.66667 -11510.992464 0.224753
1.53846 -12683.843934 0.176418
1.42857 -13798.877460 0.143935
1.33333 -14773.148671 0.120781
1.25 -15827.414649 0.100750
1.17647 -16864.850822 0.084633
1.11111 -17890.789630 0.071377
1.05263 -18908.782142 0.060282
1 -19921.304450 0.049785
0.952381 -20930.022999 0.042333
0.909091 -21936.088750 0.035914
0.869565 -22940.325134 0.030570
0.833333 -23943.272776 0.025973
0.8 -24945.299488 0.022065
0.769231 -25946.748999 0.018635
0.740741 -26947.726536 0.015852
0.714286 -27948.421763 0.013448
0.689655 -28948.911889 0.011329
0.666667 -29949.244874 0.009565
0.645161 -30949.482499 0.008078
0.625 -31949.633871 0.006881
0.606061 -32949.751056 0.005756
0.588235 -33949.829164 0.004858
0.571429 -34949.881933 0.004089
0.555556 -35949.919474 0.003427
0.540541 -36949.942932 0.002912
0.526316 -37949.962255 0.002405
0.512821 -38949.973544 0.002044
0.5 -39949.980941 0.001752
